eventId;minute;second;teamId;x;y;period;type;outcomeType;qualifiers.type.value;qualifiers.type.displayName;qualifiers.value;satisfiedEventsTypes;isTouch;playerId;endX;endY;blockedX;blockedY;goalMouthZ;goalMouthY;isShot;relatedEventId;relatedPlayerId;isGoal;cardType;isOwnGoal;cumulative_mins;id;typeId;name;assist;type_value_Jersey number;type_value_Team formation;type_value_Team player formation;type_value_Resume;type_value_Involved;type_value_Team kit;type_value_Player position;type_value_Captain;type_value_Direction of Play;type_value_Kick Off;type_value_Zone;type_value_Not visible;type_value_Pass End X;type_value_Length;type_value_Angle;type_value_Pass End Y;type_value_Launch;type_value_Long ball;type_value_Throw-in;type_value_Offensive;"type_value_Blocked
Pass";type_value_Opposite related event ID;"type_value_Opposite
related
event ID";type_value_Defensive;type_value_Foul;type_value_Direct;type_value_Shove/push;type_value_Free kick taken;type_value_Head pass;type_value_In-swinger;type_value_Chipped;type_value_Cross;type_value_Right footed;type_value_Lay-off;type_value_Assist;type_value_Right;type_value_Assisted;type_value_GK Y Coordinate;type_value_GK X blocked;type_value_Box-left;type_value_Goal mouth z coordinate;type_value_Related event ID;type_value_Left footed;type_value_Goal mouth y coordinate;type_value_Regular play;type_value_High;type_value_Goal Kick;type_value_Flick-on;type_value_Out of play;type_value_Head;type_value_Aerial Foul;type_value_Out-swinger;type_value_Blocked cross;type_value_Keeper Throw;type_value_Left;type_value_Corner taken;type_value_Straight;type_value_Low;type_value_Switch of play;type_value_Overrun;"type_value_Intentional
assist";type_value_Not past goal line;type_value_Blocked y co-ordinate;type_value_Box-centre;type_value_First Touch;type_value_Blocked x co-ordinate;type_value_Attempted Tackle;type_value_Gk kick from hands;type_value_Low left;type_value_Hands;type_value_Parried danger;type_value_Diving;type_value_Close left;type_value_Small box-left;type_value_Volley;type_value_Box-right;type_value_Individual Play;type_value_Yellow Card;type_value_Time wasting;type_value_Players caught offside;type_value_Indirect;type_value_Argument;type_value_Overhit Cross;type_value_Low centre;type_value_Out of box-centre;type_value_Caught;type_value_Standing;type_value_Review;type_value_Red card;type_value_Violent conduct;type_value_Weak;type_value_Stooping;type_value_Collected;type_value_Set piece;type_value_High centre;type_value_Keeper Touched;type_value_Small box- centre;type_value_Big Chance;type_value_Follows a Dribble;type_value_High Right;type_value_35+ centre;type_value_Blocked;type_value_Def block;type_value_Dissent;type_value_End type;type_value_Second yellow;type_value_Tactical;type_value_Position Side ID;type_value_Detailed Position ID;type_value_Formation slot;type_value_Shirt Pull/Holding;type_value_From corner;type_value_Through ball;type_value_Low right;type_value_Over-arm;type_value_Solo run;type_value_Close right and high;type_value_Game end;value_Team formation;value_Captain;value_Direction of Play;value_Kick Off;value_Zone;value_Not visible;value_Pass End X;value_Length;value_Angle;value_Pass End Y;value_Launch;value_Long ball;value_Throw-in;value_Offensive;"value_Blocked
Pass";value_Opposite related event ID;"value_Opposite
related
event ID";value_Defensive;value_Foul;value_Direct;value_Shove/push;value_Free kick taken;value_Head pass;value_In-swinger;value_Chipped;value_Cross;value_Right footed;value_Lay-off;value_Assist;value_Right;value_Assisted;value_GK Y Coordinate;value_GK X blocked;value_Box-left;value_Goal mouth z coordinate;value_Related event ID;value_Left footed;value_Goal mouth y coordinate;value_Regular play;value_High;value_Goal Kick;value_Flick-on;value_Out of play;value_Head;value_Aerial Foul;value_Out-swinger;value_Blocked cross;value_Keeper Throw;value_Left;value_Corner taken;value_Straight;value_Low;value_Switch of play;value_Overrun;"value_Intentional
assist";value_Not past goal line;value_Blocked y co-ordinate;value_Box-centre;value_First Touch;value_Blocked x co-ordinate;value_Attempted Tackle;value_Gk kick from hands;value_Low left;value_Hands;value_Parried danger;value_Diving;value_Close left;value_Small box-left;value_Volley;value_Box-right;value_Individual Play;value_Yellow Card;value_Time wasting;value_Players caught offside;value_Indirect;value_Argument;value_Overhit Cross;value_Low centre;value_Out of box-centre;value_Caught;value_Standing;value_Review;value_Red card;value_Violent conduct;value_Weak;value_Stooping;value_Collected;value_Set piece;value_High centre;value_Keeper Touched;value_Small box- centre;value_Big Chance;value_Follows a Dribble;value_High Right;value_35+ centre;value_Blocked;value_Def block;value_Dissent;value_End type;value_Second yellow;value_Tactical;value_Position Side ID;value_Detailed Position ID;value_Formation slot;value_Shirt Pull/Holding;value_From corner;value_Through ball;value_Low right;value_Over-arm;value_Solo run;value_Close right and high;value_Game end;teamName;h_a;ft;timeStamp;venueName;competition;season;index;start_zone_value_xT;end_zone_value_xT;xT;oppositionTeamName;prog_pass;prog_carry;pass_or_carry_angle;shortName;event_index;possession_id;possession_team;row_number
242;25;32;4grc9qgcvusllap8h5j6gc5h5;27,3;12,308;FirstHalf;Pass;Successful;;;;;;4ig4kv8c1xew1jlsy1k2iga21;35,7;47,464;;;;;;;;;;;25,53333333;2719958193;1;Unai Elgezabal;;;;;;;;;;;;56;;140;212;213;141;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;34.0;36.1;1.34;69.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;416;0,00942382;0,01269174;0,00326792;CD Eldense;10,0753238;0;76,56197557;U. Elgezabal;416;20;Levante UD;416
242,5;25;35;4grc9qgcvusllap8h5j6gc5h5;35,7;47,464;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;d1k9hj2ovhxue46mbdxy7wp3o;38,01;50,524;;;;;;243;;;;;25,58333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;417;0,01110462;0,01214719;0,00104257;CD Eldense;0;1,597970975;52,95077343;;417;20;Levante UD;417
243;25;38;4grc9qgcvusllap8h5j6gc5h5;38,01;50,524;FirstHalf;Pass;Successful;;;;;;d1k9hj2ovhxue46mbdxy7wp3o;45,99;62,696;;;;;;;;;;;25,63333333;2719958247;1;Jorge Cabello;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;43.8;14.6;0.99;92.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;418;0,01269174;0,01248344;-0,0002083;CD Eldense;3,380465765;0;56,75103007;J. Cabello;418;20;Levante UD;418
244;25;39;4grc9qgcvusllap8h5j6gc5h5;45,99;62,696;FirstHalf;Pass;Successful;;;;;;bqb9wziyiw0rngildx44uhxbd;37,905;52,088;;;;;;;;;;;25,65;2719958297;1;Diego Pampin;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;36.1;13.3;4.06;76.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;419;0,01248344;0,01214719;-0,00033625;CD Eldense;-3,873013678;0;-127,3132229;D. Pampin;419;20;Levante UD;419
244,5;25;39,5;4grc9qgcvusllap8h5j6gc5h5;37,905;52,088;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;d1k9hj2ovhxue46mbdxy7wp3o;36,12;47,464;;;;;;245;;;;;25,65833333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;420;0,01214719;0,01269174;0,00054455;CD Eldense;0;-0,693178053;-111,1080549;;420;20;Levante UD;420
245;25;40;4grc9qgcvusllap8h5j6gc5h5;36,12;47,464;FirstHalf;Pass;Successful;;;;;;d1k9hj2ovhxue46mbdxy7wp3o;34,23;23,8;;;;;;;;;;;25,66666667;2719958443;1;Jorge Cabello;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;32.6;23.7;4.63;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;421;0,01110462;0,01110462;0;CD Eldense;-1,317707599;0;-94,56641501;J. Cabello;421;20;Levante UD;421
245,5;25;42;4grc9qgcvusllap8h5j6gc5h5;34,23;23,8;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;4ig4kv8c1xew1jlsy1k2iga21;34,125;20,604;;;;;;246;;;;;25,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;422;0,01110462;0,01110462;0;CD Eldense;0;-0,628593034;-91,88169392;;422;20;Levante UD;422
246;25;44;4grc9qgcvusllap8h5j6gc5h5;34,125;20,604;FirstHalf;Pass;Successful;;;;;;4ig4kv8c1xew1jlsy1k2iga21;57,855;23,324;;;;;;;;;;;25,73333333;2719958477;1;Unai Elgezabal;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;55.1;23.9;0.11;34.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;423;0,01110462;0,01685596;0,00575134;CD Eldense;23,79119187;0;6,538867886;U. Elgezabal;423;20;Levante UD;423
247;25;46;4grc9qgcvusllap8h5j6gc5h5;57,855;23,324;FirstHalf;Pass;Successful;;;;;;a91clevckra05nq55e1ztezmd;70,98;28,628;;;;;;;;;;;25,76666667;2719958599;1;Oriol Rey;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;67.6;14.2;0.38;42.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;424;0,01685596;0,02385149;0,00699553;CD Eldense;13,89715315;0;22,0043373;O. Rey;424;20;Levante UD;424
247,5;25;48;4grc9qgcvusllap8h5j6gc5h5;70,98;28,628;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;awifojlj7tvikhdfqftwhco44;75,18;33,524;;;;;;248;;;;;25,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;425;0,02385149;0,02385149;0;CD Eldense;0;4,617728209;49,37558357;;425;20;Levante UD;425
248;25;50;4grc9qgcvusllap8h5j6gc5h5;75,18;33,524;FirstHalf;Pass;Successful;;;;;;awifojlj7tvikhdfqftwhco44;72,87;39,372;;;;;;;;;;;25,83333333;2719958667;1;Andres Garcia;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;69.4;6.3;1.95;57.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;426;0,02385149;0,02385149;0;CD Eldense;-2,752193629;0;111,5543589;A. Garcia;426;20;Levante UD;426
249;25;51;4grc9qgcvusllap8h5j6gc5h5;72,87;39,372;FirstHalf;Pass;Successful;;;;;;9y7202khwzb48ea7im646m11x;78,96;29,648;;;;;;;;;;;25,85;2719958895;1;Jose Luis Morales;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;75.2;11.5;5.27;43.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;427;0,02385149;0,03511326;0,01126177;CD Eldense;6,174827626;0;-57,94168377;J. L. Morales;427;20;Levante UD;427
250;25;51;4grc9qgcvusllap8h5j6gc5h5;84,315;28,9;FirstHalf;Pass;Unsuccessful;;;;;;e98i1kwb733b830mk2wqdlene;86,205;28,492;;;;;;;;;;;25,85;2719958907;1;Pablo Martinez;;;;;;;;;;;;56;;140;212;213;141;;;;286;236;233;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;82.1;1.9;6.07;41.9;;;;;;324;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;428;;;;CD Eldense;1,71898538;0;-12,18168169;P. Martinez;428;20;Levante UD;428
324;25;52;ba8jyjo18tvjwei7w7thljw10;22,05;41,072;FirstHalf;BlockedPass;Successful;;;;;;4rdnl9ce3rbt4ionnkciunis5;;;;;;;;;;;;;25,86666667;2720016845;74;Pina;;;;;;;;;;;;56;;;;;;;;;;;233;233;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;;;;;;;;;;250;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;429;;;;Levante UD;0;0;;Pina;429;20;Levante UD;429
191;25;57;ba8jyjo18tvjwei7w7thljw10;16,8;64,804;FirstHalf;Pass;Unsuccessful;;;;;;b77kh74z0degwk7uebulez4r9;63,42;60,52;;;;;;;;;;;25,95;2719958969;1;Marc Mateu;;;;;;;;;;;;56;;140;212;213;141;157;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Left;;60.4;46.8;6.19;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;430;;;;Levante UD;44,10703359;0;-5,25027273;M. Mateu;430;20;Levante UD;430
251;26;0;4grc9qgcvusllap8h5j6gc5h5;42,945;16,116;FirstHalf;Pass;Unsuccessful;;;;;;4ig4kv8c1xew1jlsy1k2iga21;64,365;15,776;;;;;;;;;;;26;2719959045;1;Unai Elgezabal;;;;;;;;;;;;56;;140;212;213;141;157;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;61.3;21.4;6.27;23.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;431;;;;CD Eldense;20,04619914;0;-0,909380449;U. Elgezabal;431;20;Levante UD;431
192;26;2;ba8jyjo18tvjwei7w7thljw10;43,68;56,984;FirstHalf;OffsidePass;Successful;;;;;;a2v2k0ujg0d6tl9b37mskqlbe;62,055;49,368;;;;;;;;;;;26,03333333;2719959335;2;Joel Jorquera;;;;;;;;;;;;56;;140;;;141;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;59.1;;;72.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a6y0o3h1zrq6limns5j616prd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;432;;;;Levante UD;0;0;-22,51284264;J. Jorquera;432;20;Levante UD;432
253;26;23;4grc9qgcvusllap8h5j6gc5h5;38,85;23,12;FirstHalf;Pass;Successful;;;;;;4ig4kv8c1xew1jlsy1k2iga21;58,485;36,176;;;;;;;;;;;26,38333333;2719960101;1;Unai Elgezabal;;;;;;;;;;;;56;189;140;212;213;141;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;55.7;23.6;0.59;53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;433;0,01269174;0,01689528;0,00420354;CD Eldense;20,47290213;0;33,62132637;U. Elgezabal;433;20;Levante UD;433
254;26;25;4grc9qgcvusllap8h5j6gc5h5;58,485;36,176;FirstHalf;Pass;Successful;;;;;;a91clevckra05nq55e1ztezmd;48,09;49,028;;;;;;;;;;;26,41666667;2719960179;1;Oriol Rey;;;;;;;;;;;;56;189;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;45.8;16.5;2.25;72.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;434;0,01689528;0,01429128;-0,002604;CD Eldense;-12,29488895;0;128,966747;O. Rey;434;20;Levante UD;434
255;26;27;4grc9qgcvusllap8h5j6gc5h5;47,775;49,028;FirstHalf;Pass;Successful;;;;;;d1k9hj2ovhxue46mbdxy7wp3o;62,475;64,872;;;;;;;;;;;26,45;2719960273;1;Jorge Cabello;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Left;;59.5;21.6;0.82;95.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;435;0,01429128;0,0174506;0,00315932;CD Eldense;6,615815747;0;47,14496293;J. Cabello;435;20;Levante UD;435
256;26;28;4grc9qgcvusllap8h5j6gc5h5;62,475;64,872;FirstHalf;Pass;Successful;;;;;;bqb9wziyiw0rngildx44uhxbd;58,485;57,052;;;;;;;;;;;26,46666667;2719960357;1;Diego Pampin;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Left;;55.7;8.8;4.24;83.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;436;0,0174506;0,01611813;-0,00133247;CD Eldense;0,635783667;0;-117,0320467;D. Pampin;436;20;Levante UD;436
256,5;26;28,5;4grc9qgcvusllap8h5j6gc5h5;58,485;57,052;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;a91clevckra05nq55e1ztezmd;58,065;53,924;;;;;;257;;;;;26,475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;437;0,01611813;0,01611813;0;CD Eldense;0;0,924951667;-97,64742841;;437;20;Levante UD;437
257;26;29;4grc9qgcvusllap8h5j6gc5h5;58,065;53,924;FirstHalf;Pass;Successful;;;;;;a91clevckra05nq55e1ztezmd;49,14;30,192;;;;;;;;;;;26,48333333;2719960551;1;Oriol Rey;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;46.8;25.4;4.35;44.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;438;0,01611813;0,01484598;-0,00127215;CD Eldense;-5,000823729;0;-110,6100003;O. Rey;438;20;Levante UD;438
257,5;26;31,5;4grc9qgcvusllap8h5j6gc5h5;49,14;30,192;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;4ig4kv8c1xew1jlsy1k2iga21;48,51;24,14;;;;;;258;;;;;26,525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;439;0,01484598;0,01429128;-0,0005547;CD Eldense;0;-1,354400728;-95,94296068;;439;20;Levante UD;439
