eventId;minute;second;teamId;x;y;period;type;outcomeType;qualifiers.type.value;qualifiers.type.displayName;qualifiers.value;satisfiedEventsTypes;isTouch;playerId;endX;endY;blockedX;blockedY;goalMouthZ;goalMouthY;isShot;relatedEventId;relatedPlayerId;isGoal;cardType;isOwnGoal;cumulative_mins;id;typeId;name;assist;type_value_Jersey number;type_value_Team formation;type_value_Team player formation;type_value_Resume;type_value_Involved;type_value_Team kit;type_value_Player position;type_value_Captain;type_value_Direction of Play;type_value_Kick Off;type_value_Zone;type_value_Not visible;type_value_Pass End X;type_value_Length;type_value_Angle;type_value_Pass End Y;type_value_Launch;type_value_Long ball;type_value_Throw-in;type_value_Offensive;"type_value_Blocked
Pass";type_value_Opposite related event ID;"type_value_Opposite
related
event ID";type_value_Defensive;type_value_Foul;type_value_Direct;type_value_Shove/push;type_value_Free kick taken;type_value_Head pass;type_value_In-swinger;type_value_Chipped;type_value_Cross;type_value_Right footed;type_value_Lay-off;type_value_Assist;type_value_Right;type_value_Assisted;type_value_GK Y Coordinate;type_value_GK X blocked;type_value_Box-left;type_value_Goal mouth z coordinate;type_value_Related event ID;type_value_Left footed;type_value_Goal mouth y coordinate;type_value_Regular play;type_value_High;type_value_Goal Kick;type_value_Flick-on;type_value_Out of play;type_value_Head;type_value_Aerial Foul;type_value_Out-swinger;type_value_Blocked cross;type_value_Keeper Throw;type_value_Left;type_value_Corner taken;type_value_Straight;type_value_Low;type_value_Switch of play;type_value_Overrun;"type_value_Intentional
assist";type_value_Not past goal line;type_value_Blocked y co-ordinate;type_value_Box-centre;type_value_First Touch;type_value_Blocked x co-ordinate;type_value_Attempted Tackle;type_value_Gk kick from hands;type_value_Low left;type_value_Hands;type_value_Parried danger;type_value_Diving;type_value_Close left;type_value_Small box-left;type_value_Volley;type_value_Box-right;type_value_Individual Play;type_value_Yellow Card;type_value_Time wasting;type_value_Players caught offside;type_value_Indirect;type_value_Argument;type_value_Overhit Cross;type_value_Low centre;type_value_Out of box-centre;type_value_Caught;type_value_Standing;type_value_Review;type_value_Red card;type_value_Violent conduct;type_value_Weak;type_value_Stooping;type_value_Collected;type_value_Set piece;type_value_High centre;type_value_Keeper Touched;type_value_Small box- centre;type_value_Big Chance;type_value_Follows a Dribble;type_value_High Right;type_value_35+ centre;type_value_Blocked;type_value_Def block;type_value_Dissent;type_value_End type;type_value_Second yellow;type_value_Tactical;type_value_Position Side ID;type_value_Detailed Position ID;type_value_Formation slot;type_value_Shirt Pull/Holding;type_value_From corner;type_value_Through ball;type_value_Low right;type_value_Over-arm;type_value_Solo run;type_value_Close right and high;type_value_Game end;value_Team formation;value_Captain;value_Direction of Play;value_Kick Off;value_Zone;value_Not visible;value_Pass End X;value_Length;value_Angle;value_Pass End Y;value_Launch;value_Long ball;value_Throw-in;value_Offensive;"value_Blocked
Pass";value_Opposite related event ID;"value_Opposite
related
event ID";value_Defensive;value_Foul;value_Direct;value_Shove/push;value_Free kick taken;value_Head pass;value_In-swinger;value_Chipped;value_Cross;value_Right footed;value_Lay-off;value_Assist;value_Right;value_Assisted;value_GK Y Coordinate;value_GK X blocked;value_Box-left;value_Goal mouth z coordinate;value_Related event ID;value_Left footed;value_Goal mouth y coordinate;value_Regular play;value_High;value_Goal Kick;value_Flick-on;value_Out of play;value_Head;value_Aerial Foul;value_Out-swinger;value_Blocked cross;value_Keeper Throw;value_Left;value_Corner taken;value_Straight;value_Low;value_Switch of play;value_Overrun;"value_Intentional
assist";value_Not past goal line;value_Blocked y co-ordinate;value_Box-centre;value_First Touch;value_Blocked x co-ordinate;value_Attempted Tackle;value_Gk kick from hands;value_Low left;value_Hands;value_Parried danger;value_Diving;value_Close left;value_Small box-left;value_Volley;value_Box-right;value_Individual Play;value_Yellow Card;value_Time wasting;value_Players caught offside;value_Indirect;value_Argument;value_Overhit Cross;value_Low centre;value_Out of box-centre;value_Caught;value_Standing;value_Review;value_Red card;value_Violent conduct;value_Weak;value_Stooping;value_Collected;value_Set piece;value_High centre;value_Keeper Touched;value_Small box- centre;value_Big Chance;value_Follows a Dribble;value_High Right;value_35+ centre;value_Blocked;value_Def block;value_Dissent;value_End type;value_Second yellow;value_Tactical;value_Position Side ID;value_Detailed Position ID;value_Formation slot;value_Shirt Pull/Holding;value_From corner;value_Through ball;value_Low right;value_Over-arm;value_Solo run;value_Close right and high;value_Game end;teamName;h_a;ft;timeStamp;venueName;competition;season;index;start_zone_value_xT;end_zone_value_xT;xT;oppositionTeamName;prog_pass;prog_carry;pass_or_carry_angle;shortName;event_index;possession_id;possession_team;row_number
7,5;0;29;ba8jyjo18tvjwei7w7thljw10;36,12;36,176;FirstHalf;Carry;Successful;999;takeOns;0;;VERDADERO;c93ufm8rfpbrfy50cnmqxslhx;38,43;40,596;;;;;;8;;;;;0,483333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;11;0,01132376;0,01262646;0,0013027;Levante UD;0;2,018382806;62,40733204;;11;1;CD Eldense;11
8;0;31;ba8jyjo18tvjwei7w7thljw10;38,43;40,596;FirstHalf;Pass;Unsuccessful;;;;;;c93ufm8rfpbrfy50cnmqxslhx;91,77;34,476;;;;;;;;;;;0,516666667;2719901277;1;David Timor;;;;;;;;;;;;56;;140;212;213;141;157;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;87.4;53.7;6.17;50.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;12;;;;Levante UD;53,65741963;0;-6,545247961;D. Timor;12;1;CD Eldense;12
6;0;38;4grc9qgcvusllap8h5j6gc5h5;8,925;29,648;FirstHalf;Pass;Successful;;;;;;dlc9ht6hrf8bu1sxgqkm8fh79;15,96;19,312;;;;;;;;;;;0,633333333;2719901455;1;Andres Fernandez;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;15.2;12.5;5.31;28.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;13;0,00941056;0,00977745;0,00036689;CD Eldense;5,930185962;0;-55,75959063;A. Fernandez;13;2;Levante UD;13
7;0;41;4grc9qgcvusllap8h5j6gc5h5;17,115;20,264;FirstHalf;Pass;Successful;;;;;;4ig4kv8c1xew1jlsy1k2iga21;30,87;2,448;;;;;;;;;;;0,683333333;2719901509;1;Unai Elgezabal;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;29.4;22.5;5.37;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;14;0,00977745;0,00977659;-8,6E-07;CD Eldense;8,386546542;0;-52,32974772;U. Elgezabal;14;2;Levante UD;14
8;0;43;4grc9qgcvusllap8h5j6gc5h5;31,815;2,244;FirstHalf;Pass;Successful;;;;;;awifojlj7tvikhdfqftwhco44;49,14;4,148;;;;;;;;;;;0,716666667;2719901585;1;Andres Garcia;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;46.8;17.4;0.11;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;15;0,00977659;0,01248344;0,00270685;CD Eldense;16,44148234;0;6,271580165;A. Garcia;15;2;Levante UD;15
9;0;45;4grc9qgcvusllap8h5j6gc5h5;49,14;4,148;FirstHalf;Pass;Unsuccessful;;;;;;6gtfe9aysdrcht4v2rluu0ley;65,94;8,908;;;;;;;;;;;0,75;2719901617;1;Carlos Alvarez;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Right;;62.8;17.5;0.28;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;16;;;;CD Eldense;16,91113422;0;15,81919395;C. Alvarez;16;2;Levante UD;16
10;0;46;ba8jyjo18tvjwei7w7thljw10;44,94;56,848;FirstHalf;Interception;Successful;;;;;;b77kh74z0degwk7uebulez4r9;;;;;;;;;;;;;0,766666667;2719901699;8;Marc Mateu;;;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;17;;;;Levante UD;0;0;;M. Mateu;17;2;Levante UD;17
10;0;47;4grc9qgcvusllap8h5j6gc5h5;57,435;6,868;FirstHalf;Pass;Successful;;;;;;6gtfe9aysdrcht4v2rluu0ley;57,75;17,952;;;;;;;;;;;0,783333333;2719901761;1;Carlos Alvarez;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;55.0;11.1;1.54;26.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;18;0,01473596;0,01685596;0,00212;CD Eldense;4,858332738;0;88,37212974;C. Alvarez;18;2;Levante UD;18
11;0;48;4grc9qgcvusllap8h5j6gc5h5;57,75;17,816;FirstHalf;Pass;Unsuccessful;;;;;;djhl1u6idhf6u50lp04xu3f1l;72,345;22,236;;;;;;;;;;;0,8;2719901797;1;Sergio Lozano;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Center;;68.9;15.2;0.29;32.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Levante UD;home;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;19;;;;CD Eldense;15,23543799;0;16,84859223;S. Lozano;19;2;Levante UD;19
12;0;53;ba8jyjo18tvjwei7w7thljw10;34,44;51,68;FirstHalf;Pass;Successful;;;;;;4rdnl9ce3rbt4ionnkciunis5;50,715;33,184;;;;;;;;;;;0,883333333;2719901935;1;Pina;;;;;;;;;;;;56;;140;212;213;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Back;;48.3;24.6;5.43;48.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD Eldense;away;3 : 1;2024-09-14;Estadio Ciudad de Valencia;LALIGA HYPERMOTION;2024/2025;20;0,0105949;0,01484598;0,00425108;Levante UD;18,45016239;0;-48,65480666;Pina;20;2;Levante UD;20
